location,date,variant,num_sequences,perc_sequences,num_sequences_total
Angola,2020-07-06,Alpha,0,0.0,3
Angola,2020-07-06,B.1.1.277,0,0.0,3
Angola,2020-07-06,B.1.1.302,0,0.0,3
Angola,2020-07-06,B.1.1.519,0,0.0,3
Angola,2020-07-06,B.1.160,0,0.0,3
Angola,2020-07-06,B.1.177,0,0.0,3
Angola,2020-07-06,B.1.221,0,0.0,3
Angola,2020-07-06,B.1.258,0,0.0,3
Angola,2020-07-06,B.1.367,0,0.0,3
Angola,2020-07-06,B.1.620,0,0.0,3
Angola,2020-07-06,Beta,0,0.0,3
Angola,2020-07-06,Delta,0,0.0,3
Angola,2020-07-06,Epsilon,0,0.0,3
Angola,2020-07-06,Eta,0,0.0,3
Angola,2020-07-06,Gamma,0,0.0,3
Angola,2020-07-06,Iota,0,0.0,3
Angola,2020-07-06,Kappa,0,0.0,3
Angola,2020-07-06,Lambda,0,0.0,3
Angola,2020-07-06,Mu,0,0.0,3
Angola,2020-07-06,Omicron,0,0.0,3
Angola,2020-07-06,S:677H.Robin1,0,0.0,3
Angola,2020-07-06,S:677P.Pelican,0,0.0,3
Angola,2020-07-06,others,3,100.0,3
Angola,2020-07-06,non_who,3,100.0,3
Angola,2020-08-31,Alpha,0,0.0,1
Angola,2020-08-31,B.1.1.277,0,0.0,1
Angola,2020-08-31,B.1.1.302,0,0.0,1
Angola,2020-08-31,B.1.1.519,0,0.0,1
Angola,2020-08-31,B.1.160,0,0.0,1
Angola,2020-08-31,B.1.177,0,0.0,1
Angola,2020-08-31,B.1.221,0,0.0,1
Angola,2020-08-31,B.1.258,0,0.0,1
Angola,2020-08-31,B.1.367,0,0.0,1
Angola,2020-08-31,B.1.620,0,0.0,1
Angola,2020-08-31,Beta,1,100.0,1
Angola,2020-08-31,Delta,0,0.0,1
Angola,2020-08-31,Epsilon,0,0.0,1
Angola,2020-08-31,Eta,0,0.0,1
Angola,2020-08-31,Gamma,0,0.0,1
Angola,2020-08-31,Iota,0,0.0,1
Angola,2020-08-31,Kappa,0,0.0,1
Angola,2020-08-31,Lambda,0,0.0,1
Angola,2020-08-31,Mu,0,0.0,1
Angola,2020-08-31,Omicron,0,0.0,1
Angola,2020-08-31,S:677H.Robin1,0,0.0,1
Angola,2020-08-31,S:677P.Pelican,0,0.0,1
Angola,2020-08-31,others,0,0.0,1
Angola,2020-08-31,non_who,0,0.0,1
Angola,2020-09-28,Alpha,0,0.0,10
Angola,2020-09-28,B.1.1.277,0,0.0,10
Angola,2020-09-28,B.1.1.302,0,0.0,10
Angola,2020-09-28,B.1.1.519,0,0.0,10
Angola,2020-09-28,B.1.160,0,0.0,10
Angola,2020-09-28,B.1.177,0,0.0,10
Angola,2020-09-28,B.1.221,0,0.0,10
Angola,2020-09-28,B.1.258,0,0.0,10
Angola,2020-09-28,B.1.367,0,0.0,10
Angola,2020-09-28,B.1.620,0,0.0,10
Angola,2020-09-28,Beta,9,90.0,10
Angola,2020-09-28,Delta,0,0.0,10
Angola,2020-09-28,Epsilon,0,0.0,10
Angola,2020-09-28,Eta,0,0.0,10
Angola,2020-09-28,Gamma,0,0.0,10
Angola,2020-09-28,Iota,0,0.0,10
Angola,2020-09-28,Kappa,0,0.0,10
Angola,2020-09-28,Lambda,0,0.0,10
Angola,2020-09-28,Mu,0,0.0,10
Angola,2020-09-28,Omicron,0,0.0,10
Angola,2020-09-28,S:677H.Robin1,0,0.0,10
Angola,2020-09-28,S:677P.Pelican,0,0.0,10
Angola,2020-09-28,others,1,10.0,10
Angola,2020-09-28,non_who,1,10.0,10
Angola,2020-10-12,Alpha,0,0.0,29
Angola,2020-10-12,B.1.1.277,0,0.0,29
Angola,2020-10-12,B.1.1.302,0,0.0,29
Angola,2020-10-12,B.1.1.519,0,0.0,29
Angola,2020-10-12,B.1.160,0,0.0,29
Angola,2020-10-12,B.1.177,0,0.0,29
Angola,2020-10-12,B.1.221,0,0.0,29
Angola,2020-10-12,B.1.258,0,0.0,29
Angola,2020-10-12,B.1.367,0,0.0,29
Angola,2020-10-12,B.1.620,0,0.0,29
Angola,2020-10-12,Beta,24,82.76,29
Angola,2020-10-12,Delta,0,0.0,29
Angola,2020-10-12,Epsilon,0,0.0,29
Angola,2020-10-12,Eta,0,0.0,29
Angola,2020-10-12,Gamma,0,0.0,29
Angola,2020-10-12,Iota,0,0.0,29
Angola,2020-10-12,Kappa,0,0.0,29
Angola,2020-10-12,Lambda,0,0.0,29
Angola,2020-10-12,Mu,0,0.0,29
Angola,2020-10-12,Omicron,0,0.0,29
Angola,2020-10-12,S:677H.Robin1,0,0.0,29
Angola,2020-10-12,S:677P.Pelican,0,0.0,29
Angola,2020-10-12,others,5,17.24,29
Angola,2020-10-12,non_who,5,17.24,29
Angola,2020-10-26,Alpha,0,0.0,7
Angola,2020-10-26,B.1.1.277,0,0.0,7
Angola,2020-10-26,B.1.1.302,0,0.0,7
Angola,2020-10-26,B.1.1.519,0,0.0,7
Angola,2020-10-26,B.1.160,0,0.0,7
Angola,2020-10-26,B.1.177,0,0.0,7
Angola,2020-10-26,B.1.221,0,0.0,7
Angola,2020-10-26,B.1.258,0,0.0,7
Angola,2020-10-26,B.1.367,0,0.0,7
Angola,2020-10-26,B.1.620,0,0.0,7
Angola,2020-10-26,Beta,7,100.0,7
Angola,2020-10-26,Delta,0,0.0,7
Angola,2020-10-26,Epsilon,0,0.0,7
Angola,2020-10-26,Eta,0,0.0,7
Angola,2020-10-26,Gamma,0,0.0,7
Angola,2020-10-26,Iota,0,0.0,7
Angola,2020-10-26,Kappa,0,0.0,7
Angola,2020-10-26,Lambda,0,0.0,7
Angola,2020-10-26,Mu,0,0.0,7
Angola,2020-10-26,Omicron,0,0.0,7
Angola,2020-10-26,S:677H.Robin1,0,0.0,7
Angola,2020-10-26,S:677P.Pelican,0,0.0,7
Angola,2020-10-26,others,0,0.0,7
Angola,2020-10-26,non_who,0,0.0,7
Angola,2020-12-07,Alpha,0,0.0,6
Angola,2020-12-07,B.1.1.277,0,0.0,6
Angola,2020-12-07,B.1.1.302,0,0.0,6
Angola,2020-12-07,B.1.1.519,0,0.0,6
Angola,2020-12-07,B.1.160,0,0.0,6
Angola,2020-12-07,B.1.177,0,0.0,6
Angola,2020-12-07,B.1.221,0,0.0,6
Angola,2020-12-07,B.1.258,0,0.0,6
Angola,2020-12-07,B.1.367,0,0.0,6
Angola,2020-12-07,B.1.620,0,0.0,6
Angola,2020-12-07,Beta,6,100.0,6
Angola,2020-12-07,Delta,0,0.0,6
Angola,2020-12-07,Epsilon,0,0.0,6
Angola,2020-12-07,Eta,0,0.0,6
Angola,2020-12-07,Gamma,0,0.0,6
Angola,2020-12-07,Iota,0,0.0,6
Angola,2020-12-07,Kappa,0,0.0,6
Angola,2020-12-07,Lambda,0,0.0,6
Angola,2020-12-07,Mu,0,0.0,6
Angola,2020-12-07,Omicron,0,0.0,6
Angola,2020-12-07,S:677H.Robin1,0,0.0,6
Angola,2020-12-07,S:677P.Pelican,0,0.0,6
Angola,2020-12-07,others,0,0.0,6
Angola,2020-12-07,non_who,0,0.0,6
Angola,2020-12-21,Alpha,0,0.0,93
Angola,2020-12-21,B.1.1.277,0,0.0,93
Angola,2020-12-21,B.1.1.302,0,0.0,93
Angola,2020-12-21,B.1.1.519,0,0.0,93
Angola,2020-12-21,B.1.160,0,0.0,93
Angola,2020-12-21,B.1.177,0,0.0,93
Angola,2020-12-21,B.1.221,0,0.0,93
Angola,2020-12-21,B.1.258,0,0.0,93
Angola,2020-12-21,B.1.367,0,0.0,93
Angola,2020-12-21,B.1.620,0,0.0,93
Angola,2020-12-21,Beta,69,74.19,93
Angola,2020-12-21,Delta,0,0.0,93
Angola,2020-12-21,Epsilon,0,0.0,93
Angola,2020-12-21,Eta,1,1.08,93
Angola,2020-12-21,Gamma,0,0.0,93
Angola,2020-12-21,Iota,0,0.0,93
Angola,2020-12-21,Kappa,0,0.0,93
Angola,2020-12-21,Lambda,0,0.0,93
Angola,2020-12-21,Mu,0,0.0,93
Angola,2020-12-21,Omicron,0,0.0,93
Angola,2020-12-21,S:677H.Robin1,0,0.0,93
Angola,2020-12-21,S:677P.Pelican,0,0.0,93
Angola,2020-12-21,others,23,24.73,93
Angola,2020-12-21,non_who,23,24.73,93
Angola,2021-01-04,Alpha,0,0.0,5
Angola,2021-01-04,B.1.1.277,0,0.0,5
Angola,2021-01-04,B.1.1.302,0,0.0,5
Angola,2021-01-04,B.1.1.519,0,0.0,5
Angola,2021-01-04,B.1.160,0,0.0,5
Angola,2021-01-04,B.1.177,0,0.0,5
Angola,2021-01-04,B.1.221,0,0.0,5
Angola,2021-01-04,B.1.258,0,0.0,5
Angola,2021-01-04,B.1.367,0,0.0,5
